,queries 0,certified 0,% good ML in hull 0,queries 1,certified 1,% good ML in hull 1,queries 2,certified 2,% good ML in hull 2,queries 3,certified 3,% good ML in hull 3,queries 4,certified 4,% good ML in hull 4,queries 5,certified 5,% good ML in hull 5,queries 6,certified 6,% good ML in hull 6,queries 7,certified 7,% good ML in hull 7,queries 8,certified 8,% good ML in hull 8,queries 9,certified 9,% good ML in hull 9
0,10,5,,10,5,,10,5,,10,5,,10,5,,10,5,,10,5,,10,5,,10,5,,10,5,
1,10,7,,10,7,,10,7,,10,7,,10,7,,10,7,,10,8,,10,7,,10,8,,10,7,
2,10,8,,10,9,,10,8,,10,8,,10,9,,10,8,,10,9,,10,9,,10,9,,10,8,
3,10,9,,10,10,,10,9,,10,9,,10,10,,10,10,,10,11,,10,10,,10,10,,10,9,
4,10,10,,10,11,,10,10,,10,12,,10,11,,10,11,,10,13,,10,11,,10,12,,10,10,
5,10,12,,10,13,,10,11,,10,13,,10,12,,10,12,,10,15,,10,12,,10,13,,10,11,
6,10,14,,10,14,,10,13,,10,14,,10,13,,10,14,,10,16,,10,13,,10,15,,10,12,
7,10,16,,10,16,,10,14,,10,15,,10,14,,10,16,,10,18,,10,15,,10,16,,10,14,
8,10,17,,10,17,,10,17,,10,17,,10,15,,10,17,,10,19,,10,16,,10,17,,10,16,
9,10,19,,10,18,,10,19,,10,22,,10,16,,10,18,,10,21,,10,17,,10,19,,10,17,
